grado,tiempo_estandar_ns,tiempo_horner_ns
10,532.4,154
20,1629,230.3
30,3443,310.5
40,6079,402.3
50,9441.8,493.6
60,13428.6,579.5
70,17613.9,648.6
80,23726.8,748.5
90,34404.7,1283.5
100,39347.2,1134.4
110,50630.6,1166.9
120,50585,1145.4
130,68974.5,1466.7
140,89425.1,1617.9
150,99605.6,1629.2
160,100728,1576.7
170,126480,1963.9
180,115414,1623.6
190,128468,1705.6
200,142158,1789.4
210,175456,2697.7
220,192035,2237.6
230,198872,2181.6
240,217806,2276
250,210153,2131.5
260,220583,2115.1
270,255960,2619
280,266495,2378.3
290,266171,2291.6
300,291432,2412
310,331612,2687.3
320,316755,2462.7
330,334520,2661.6
340,382027,2795.2
350,459096,3289.8
360,475270,3424.1
370,488153,3302.4
380,508369,3364.7
390,548266,3516.7
400,587774,3701.9
410,601786,3634.9
420,635417,3798.5
430,667190,3869.1
440,695557,3990
450,680908,3803.4
460,765239,4167.8
470,751585,3987.1
480,829540,4410.3
490,835368,4238.1
500,900075,4534.6
510,980467,4832.9
520,940297,4512.7
530,1.00508e+06,4742.9
540,1.06776e+06,4959.8
550,1.09487e+06,4980.1
560,1.13186e+06,5009.6
570,1.15105e+06,5071.2
580,1.17031e+06,5055
590,1.22231e+06,5174.7
600,1.28374e+06,5501
610,1.36248e+06,5761.4
620,1.37205e+06,5542.7
630,1.46348e+06,5852.3
640,1.50076e+06,5971.5
650,1.52574e+06,5855.4
660,1.52061e+06,5731.6
670,1.57076e+06,6024.4
680,1.70756e+06,6728.6
690,1.74432e+06,6413
700,1.83517e+06,6797.9
710,1.7373e+06,6141.8
720,1.9122e+06,6652.5
730,1.90056e+06,6582.1
740,1.95399e+06,6888.5
750,1.98405e+06,6606.4
760,2.07687e+06,6832.2
770,2.13125e+06,7408
780,2.1781e+06,7118.4
790,2.22982e+06,7384.2
800,2.28571e+06,7182.5
810,2.36556e+06,7438
820,2.38985e+06,7305.1
830,2.4139e+06,7386.2
840,2.58505e+06,7807.9
850,2.55399e+06,7557.3
860,2.58971e+06,7547.8
870,2.78264e+06,8257.5
880,2.84354e+06,8031.1
890,2.83187e+06,8073.2
900,2.96831e+06,8517.8
910,3.01857e+06,8356
920,3.07206e+06,8608.5
930,3.14583e+06,8791.1
940,3.20382e+06,8547.6
950,3.1734e+06,8466
960,3.23348e+06,8416.4
970,3.40664e+06,8860
980,3.49816e+06,9268.1
990,3.51427e+06,8958
1000,3.44003e+06,8607
9196.6
